bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1092872,773978,2018-08-31,Assembly,"AB 3066 STONE Concurrence in Senate Amendments",54,23,3,0,80
1092874,744023,2018-04-25,Senate,"Do pass as amended",10,0,1,0,11
1092874,757188,2018-05-29,Senate,"Senate 3rd Reading SB1374 Hueso",38,0,1,0,39
1092874,766266,2018-06-20,Assembly,"Do pass and be re-referred to the Committee on [Natural Resources]",15,0,0,0,15
1092874,768168,2018-06-25,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",10,0,0,0,10
1092874,771116,2018-08-08,Assembly,"Do pass. To Consent Calendar",17,0,0,0,17
1092874,773956,2018-08-30,Assembly,"SB 1374 Hueso Senate Third Reading By QUIRK",80,0,0,0,80
1092874,774069,2018-08-31,Senate,"Unfinished Business SB1374 Hueso Concurrence",39,0,1,0,40
1092875,739471,2018-04-17,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",7,0,0,0,7
1092875,752708,2018-05-14,Senate,"Placed on suspense file",7,0,0,0,7
1092876,739893,2018-04-17,Assembly,"Do pass and be re-referred to the Committee on [Human Services]",13,0,0,0,13
1092876,743857,2018-04-24,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",7,0,0,0,7
1092876,756398,2018-05-25,Assembly,"Do pass",16,0,1,0,17
1092876,758787,2018-05-31,Assembly,"AB 2933 MEDINA Assembly Third Reading",78,0,0,0,78
1092876,766216,2018-06-20,Senate,"Do pass, but first be re-referred to the Committee on [Human Services] with the recommendation: To Consent Calendar",7,0,0,0,7
1092876,768783,2018-06-26,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",6,0,1,0,7
1092876,770552,2018-08-06,Senate,"Placed on suspense file",7,0,0,0,7
1092876,775187,2018-05-25,Assembly,,7,0,1,0,8
1092877,743767,2018-04-24,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",8,2,3,0,13
1092878,733962,2018-04-04,Senate,"Do pass, but first be re-referred to the Committee on [Business, Professions and Economic Development]",9,0,0,0,9
1092878,738837,2018-04-16,Senate,"Do pass, but first be re-referred to the Committee on [Judiciary]",9,0,0,0,9
1092878,743955,2018-04-24,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations] with the recommendation: To Consent Calendar",7,0,0,0,7
1092878,758595,2018-05-31,Senate,"Senate 3rd Reading SB1305 Glazer et al",39,0,0,0,39
1092878,765029,2018-06-19,Assembly,"Do pass as amended and be re-referred to the Committee on [Judiciary]",17,0,2,0,19
1092878,768218,2018-06-26,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",10,0,0,0,10
1092878,771515,2018-08-15,Assembly,"Do pass. To Consent Calendar",17,0,0,0,17
